emp_no,first_name,last_name,title,dept_no
10001,Georgi,Facello,Senior Engineer,d005
10004,Chirstian,Koblick,Senior Engineer,d004
10005,Kyoichi,Maliniak,Senior Staff,d003
10006,Anneke,Preusig,Senior Engineer,d005
10009,Sumant,Peac,Senior Engineer,d006
10018,Kazuhide,Peha,Senior Engineer,d004
10019,Lillian,Haddadi,Staff,d008
10020,Mayuko,Warwick,Engineer,d004
10022,Shahaf,Famili,Engineer,d005
10023,Bojan,Montemayor,Engineer,d005
10026,Yongqiao,Berztiss,Senior Engineer,d004
10035,Alain,Chappelet,Senior Engineer,d004
10047,Zvonko,Nyanchama,Senior Engineer,d004
10051,Hidefumi,Caine,Senior Engineer,d004
10053,Sanjiv,Zschoche,Senior Staff,d007
10057,Ebbe,Callaway,Senior Engineer,d005
10058,Berhard,McFarlin,Senior Staff,d001
10059,Alejandro,McAlpine,Senior Staff,d002
10063,Gino,Leonhardt,Senior Engineer,d004
10066,Kwee,Schusler,Senior Engineer,d005
10067,Claudi,Stavenow,Senior Engineer,d006
10070,Reuven,Garigliano,Technique Leader,d005
10072,Hironoby,Sidou,Senior Engineer,d005
10074,Mokhtar,Bernatsky,Technique Leader,d005
10076,Erez,Ritzmann,Senior Engineer,d005
10088,Jungsoon,Syrzycki,Senior Staff,d007
10091,Amabile,Gomatam,Senior Engineer,d005
10096,Jayson,Mandell,Engineer,d004
10097,Remzi,Waschkowski,Senior Staff,d008
10100,Hironobu,Haraldson,Senior Staff,d003
10103,Akemi,Birch,Engineer,d005
10106,Eben,Aingworth,Senior Engineer,d004
10126,Kayoko,Valtorta,Senior Staff,d009
10127,Subir,Baja,Senior Engineer,d005
10129,Armond,Peir,Technique Leader,d005
10130,Nishit,Casperson,Senior Engineer,d004
10134,Diederik,Siprelle,Senior Engineer,d004
10138,Perry,Shimshoni,Senior Engineer,d006
10150,Zhenbing,Perng,Senior Engineer,d005
10153,Heekeun,Majewski,Assistant Engineer,d005
10157,Nigel,Aloisi,Senior Engineer,d005
10159,Serif,Buescher,Senior Engineer,d006
10160,Debatosh,Khasidashvili,Senior Staff,d007
10163,Karsten,Szmurlo,Senior Staff,d003
10166,Samphel,Siegrist,Engineer,d005
10183,Mechthild,Bonifati,Staff,d009
10194,Josyula,Hofmeyr,Senior Staff,d002
10196,Marc,Hellwagner,Staff,d002
10198,Pranav,Furedi,Senior Engineer,d005
10203,Steen,Escriba,Senior Staff,d008
10205,Mabhin,Leijenhorst,Senior Engineer,d004
10207,Girolamo,Anandan,Senior Engineer,d005
10215,Xiaobin,Duclos,Senior Staff,d007
10219,Genta,Kolvik,Senior Staff,d005
10224,Leon,Trogemann,Senior Engineer,d004
10228,Karoline,Cesareni,Senior Staff,d001
10230,Clyde,Vernadat,Senior Staff,d008
10233,Lein,Vendrig,Senior Staff,d003
10239,Nikolaos,Llado,Staff,d001
10240,Remko,Maccarone,Engineer,d006
10248,Frederique,Tempesti,Senior Staff,d007
10249,Marie,Boreale,Senior Engineer,d005
10258,Basil,Ishibashi,Senior Engineer,d005
10262,Mahendra,Maraist,Staff,d007
10272,Yishai,Cannane,Staff,d002
10281,Moty,Kusakari,Senior Engineer,d006
10282,Hercules,Benzmuller,Engineer,d004
10283,Kauko,Birjandi,Senior Engineer,d005
10284,Masali,Murrill,Engineer,d004
10295,Kristine,Velardi,Senior Staff,d002
10298,Dietrich,DuCasse,Staff,d004
10306,Heng,Kilgour,Staff,d007
10307,Nikolaos,Leaver,Engineer,d004
10322,Isamu,Dahlbom,Senior Engineer,d005
10325,Arunachalam,Badr,Senior Staff,d003
10326,Masali,Czap,Staff,d008
10328,Serenella,Kawashima,Engineer,d005
10333,Snehasis,Dymetman,Senior Engineer,d005
10340,Djelloul,Laventhal,Senior Staff,d001
10343,Dinah,Syrzycki,Senior Engineer,d006
10347,Pradeep,Kaminger,Staff,d008
10349,Oksana,Brodie,Senior Staff,d009
10353,Phule,Hammerschmidt,Senior Staff,d001
10355,Satyanarayana,Cochrane,Staff,d007
10356,Vasilis,Standera,Senior Staff,d008
10358,Qunsheng,Tagansky,Technique Leader,d005
10364,Nakhoon,Dengi,Senior Engineer,d004
10367,Hyuckchul,Gini,Senior Staff,d001
10372,Anneli,Frijda,Technique Leader,d004
10377,Marl,Grospietsch,Senior Engineer,d004
10387,Parto,Wrigley,Senior Staff,d009
10388,Hironoby,Kaiser,Staff,d007
10389,Make,Peir,Technique Leader,d005
10396,Sibyl,Rahier,Senior Engineer,d005
10397,Irena,Reutenauer,Technique Leader,d004
10402,Volkmar,Ebeling,Technique Leader,d006
10404,Prodip,Rosti,Senior Engineer,d005
10407,Ulf,Siepmann,Senior Staff,d007
10413,Danel,Impagliazzo,Senior Staff,d003
10418,Candida,Porotnikoff,Staff,d001
10422,Greger,Rubsam,Engineer,d004
10426,Arunas,Luce,Technique Leader,d005
10429,Martien,Improta,Senior Engineer,d005
10432,Hisao,Tiemann,Senior Staff,d009
10433,Reuven,Dengi,Engineer,d006
10451,Bodh,Ranta,Senior Engineer,d004
10453,Tsvetan,Matzel,Senior Staff,d009
10463,Ung,Zaiane,Staff,d007
10477,Guoxiang,Trogemann,Senior Engineer,d005
10486,Amstein,Kossowski,Senior Engineer,d006
10494,Yakkov,Servieres,Senior Engineer,d004
10497,Pramod,Rabehasaina,Senior Engineer,d004
10499,Maik,Luft,Senior Staff,d001
10503,Dannz,Pell,Engineer,d004
10504,Xiong,Varker,Staff,d007
10509,Abdelwaheb,Riesenhuber,Senior Staff,d007
10512,Udi,Gihr,Senior Staff,d003
10517,Tiina,Speek,Senior Staff,d007
10522,Marke,Cesareni,Senior Staff,d003
10529,Ymte,Yetto,Assistant Engineer,d004
10531,Oguz,Gimbel,Staff,d003
10542,Yannis,Couchot,Senior Engineer,d005
10548,Ramalingam,Gunderson,Senior Staff,d001
10552,Kazuhito,Shiratori,Senior Engineer,d004
10564,Jianhao,Thisen,Senior Engineer,d004
10568,Gao,Poulakidas,Staff,d007
10586,Kirk,Vuskovic,Senior Engineer,d004
10593,Falguni,Kenevan,Senior Engineer,d004
10596,Sanjit,Coors,Senior Staff,d007
10603,Wayne,Restivo,Staff,d007
10610,Irena,Roccetti,Engineer,d005
10614,Gila,Ozeri,Senior Engineer,d004
10615,Keung,Delgrande,Senior Staff,d002
10623,Aleksander,Danlos,Senior Engineer,d005
10624,Sham,Gyorkos,Technique Leader,d004
10628,Krisda,Krogh,Senior Engineer,d005
10630,Bezalel,Katzenelson,Engineer,d004
10631,Inderjeet,Chaudhuri,Engineer,d005
10634,Nahid,Chepyzhov,Senior Engineer,d005
10636,Saeko,Porotnikoff,Staff,d003
10639,Pramod,Erol,Senior Engineer,d005
10641,Guozhong,Zucker,Engineer,d005
10642,Hirochika,Narlikar,Engineer,d005
10653,Otmar,Feinberg,Senior Engineer,d005
10667,Makato,Cusworth,Senior Staff,d009
10671,Parviz,Rebaine,Senior Staff,d003
10676,Valeri,Danley,Engineer,d005
10683,Guiseppe,Stranks,Senior Engineer,d004
